MergedCellType	cell_type	data_source	feature_DHS	feature_ATAC	feature_H3K27ac	default_accessibility_feature	hic_cell_type	RNA_tpm_file	genome	ABCPredictionsForGWAS	nEnhancers	ABCEnhancers	Neighborhoods	Predictions	bedpe
HCT116	HCT116-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/HCT116-ENCODE/ENCFF657MJJ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/HCT116-ENCODE/ENCFF750NEF.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/HCT116-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/HCT116-ENCODE/ENCFF009QKI.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/HCT116-ENCODE/ENCFF246TZC.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/HCT116-ENCODE/ENCFF364PAM.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/HCT116-ENCODE/ENCFF823CSZ.tagAlign.gz	DHS	HCT116_ctrl	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HCT116-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HCT116-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HCT116-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HCT116-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
heart ventricle	heart_ventricle-ENCODE	ENCODE		/oak/stanford/groups/engreitz/ABC_inputs/heart_ventricle-ENCODE/HeartLeftV-ENCFF766IGD.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/heart_ventricle-ENCODE/HeartLV-ENCFF695YHX.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/heart_ventricle-ENCODE/ENCFF024NTE.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/heart_ventricle-ENCODE/ENCFF072ZDB.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/heart_ventricle-ENCODE/ENCFF629PMN.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/heart_ventricle-ENCODE/ENCFF757FUA.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/heart_ventricle-ENCODE/ENCFF936OFA.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/heart_ventricle-ENCODE/ENCFF995OXQ.tagAlign.gz	ATAC	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/heart_ventricle-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/heart_ventricle-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/heart_ventricle-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/heart_ventricle-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
HeLa-S3	HeLa-S3-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/HeLa-S3-Roadmap/E117-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/HeLa-S3-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/HeLa-S3-Roadmap/E117-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF622JEX.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF722TFN.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF068QXI.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF051IJZ.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HeLa-S3-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HeLa-S3-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HeLa-S3-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HeLa-S3-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
hepatocyte	hepatocyte-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/hepatocyte-ENCODE/ENCFF000SQE.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/hepatocyte-ENCODE/ENCFF000SQF.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/hepatocyte-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/hepatocyte-ENCODE/ENCFF774ZCQ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/hepatocyte-ENCODE/ENCFF998QZR.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF973KGN.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF973HGE.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF724CQI.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF624LQL.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/hepatocyte-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/hepatocyte-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/hepatocyte-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/hepatocyte-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
HepG2	HepG2-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/HepG2-Roadmap/E118-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/HepG2-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/HepG2-Roadmap/E118-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF649AHO.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF974MUO.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF972FHG.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF502WZU.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF139ZPW.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF255HPM.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF814SRY.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF309AYC.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HepG2-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HepG2-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HepG2-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HepG2-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
IMR90	IMR90-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/IMR90-Roadmap/E017-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/IMR90-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/IMR90-Roadmap/E017-H3K27ac.tagAlign.gz	DHS	IMR90	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF480FTB.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF588AJG.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/IMR90-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/IMR90-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/IMR90-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/IMR90-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
induced pluripotent stem cell	induced_pluripotent_stem_cell-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/induced_pluripotent_stem_cell-ENCODE/ENCFF660WPD.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/induced_pluripotent_stem_cell-ENCODE/ENCFF858TLZ.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/induced_pluripotent_stem_cell-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/induced_pluripotent_stem_cell-ENCODE/ENCFF037SCG.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/induced_pluripotent_stem_cell-ENCODE/ENCFF794OAC.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/induced_pluripotent_stem_cell-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/induced_pluripotent_stem_cell-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/induced_pluripotent_stem_cell-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/induced_pluripotent_stem_cell-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
iPS_DF_19.11_Cell_Line	iPS_DF_19.11_Cell_Line-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/iPS_DF_19.11_Cell_Line-Roadmap/E022-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/iPS_DF_19.11_Cell_Line-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/iPS_DF_19.11_Cell_Line-Roadmap/E022-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/iPS_DF_19.11_Cell_Line-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/iPS_DF_19.11_Cell_Line-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/iPS_DF_19.11_Cell_Line-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/iPS_DF_19.11_Cell_Line-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
Jurkat	Jurkat-Engreitz	ThisStudy-ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/Jurkat-Engreitz/ENCFF530XUJ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/Jurkat-Engreitz/ENCFF798WCO.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/Jurkat-Engreitz/Jurkat_ctrl_2-Tag-30.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Jurkat-Engreitz/Jurkat_ctrl_1-Tag-30.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/Jurkat-Engreitz/Jurkat-ctrl-1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Jurkat-Engreitz/Jurkat-ctrl-2.sorted.unique_alignment.bam	ATAC	Jurkat	/seq/lincRNA/RAP/KO-RNASeq/170721_ImmuneRNASeq//aligned/S10-Jurkat_ctrl2/symbol.tpm.txt,/seq/lincRNA/RAP/KO-RNASeq/170721_ImmuneRNASeq//aligned/S9-Jurkat_ctrl1/symbol.tpm.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF673ODZ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF589KMH.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Jurkat-Engreitz/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Jurkat-Engreitz/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Jurkat-Engreitz/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Jurkat-Engreitz/Predictions_AvgHiC//EnhancerPredictions.bedpe
Jurkat anti-CD3 PMA 4hr	Jurkat_anti-CD3_PMA_4hr-Engreitz	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/Jurkat_anti-CD3_PMA_4hr-Engreitz/Jurkat_stim_1-Tag-30.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Jurkat_anti-CD3_PMA_4hr-Engreitz/Jurkat_stim_2-Tag-30.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/Jurkat_anti-CD3_PMA_4hr-Engreitz/Jurkat-stim-1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Jurkat_anti-CD3_PMA_4hr-Engreitz/Jurkat-stim-2.sorted.unique_alignment.bam	ATAC	Jurkat	/seq/lincRNA/RAP/KO-RNASeq/170721_ImmuneRNASeq//aligned/S11-Jurkat_stim1/symbol.tpm.txt,/seq/lincRNA/RAP/KO-RNASeq/170721_ImmuneRNASeq//aligned/S12-Jurkat_stim2/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Jurkat_anti-CD3_PMA_4hr-Engreitz/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Jurkat_anti-CD3_PMA_4hr-Engreitz/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Jurkat_anti-CD3_PMA_4hr-Engreitz/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Jurkat_anti-CD3_PMA_4hr-Engreitz/Predictions_AvgHiC//EnhancerPredictions.bedpe
K562	K562-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/K562-Roadmap/E123-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/K562-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/K562-Roadmap/E123-H3K27ac.tagAlign.gz	DHS	K562	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF662LZE.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF930UOM.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF186TXT.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF728TIT.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF934YBO.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF515MUX.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF117PLQ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF656JXX.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF004LGY.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF222NCB.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/K562-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/K562-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/K562-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/K562-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
Karpas-422	Karpas-422-ENCODE	ENCODE-ThisStudy	/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/ENCFF124TXN.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/ENCFF171BED.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/Karpas-5x-Tn5-rep1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/Karpas-5x-Tn5-rep2.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/Karpas-5x-Tn5-rep3.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/Karpas-5x-Tn5-rep4.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/Karpas-5x-Tn5-rep5.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/Karpas-5x-Tn5-rep6.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/Karpas-5x-Tn5-rep1.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/ENCFF119ZDZ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/Karpas-422-ENCODE/ENCFF671FAG.tagAlign.gz	DHS	Karpas422	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Karpas-422-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Karpas-422-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Karpas-422-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Karpas-422-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
keratinocyte	keratinocyte-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/keratinocyte-Roadmap/E127-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/keratinocyte-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/keratinocyte-Roadmap/E127-H3K27ac.tagAlign.gz	DHS	NHEK	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF747WWG.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF372VME.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF108ERJ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF699KSV.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/keratinocyte-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/keratinocyte-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/keratinocyte-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/keratinocyte-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
large intestine fetal	large_intestine_fetal-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/large_intestine_fetal-Roadmap/E084-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/large_intestine_fetal-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/large_intestine_fetal-Roadmap/E084-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF399WNF.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF737ALG.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF729LZK.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF243ECK.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF849BNM.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF646FPF.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF279FZC.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/large_intestine_fetal-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/large_intestine_fetal-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/large_intestine_fetal-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/large_intestine_fetal-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
liver	liver-ENCODE	ENCODE		/oak/stanford/groups/engreitz/ABC_inputs/liver-ENCODE/LiverRightLobe-ENCFF035UUL.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/liver-ENCODE/ENCFF395RUY.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/liver-ENCODE/ENCFF855KHN.tagAlign.gz	ATAC	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF880OSE.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF269HNO.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF418BVF.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF804QWF.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/liver-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/liver-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/liver-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/liver-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
mammary epithelial cell	mammary_epithelial_cell-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/mammary_epithelial_cell-Roadmap/E119-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/mammary_epithelial_cell-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/mammary_epithelial_cell-Roadmap/E119-H3K27ac.tagAlign.gz	DHS	HMEC	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF300LEY.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/mammary_epithelial_cell-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/mammary_epithelial_cell-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/mammary_epithelial_cell-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/mammary_epithelial_cell-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
MCF-7	MCF-7-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/MCF-7-ENCODE/ENCFF268TJY.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/MCF-7-ENCODE/ENCFF326GXI.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/MCF-7-ENCODE/ENCFF432OZA.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/MCF-7-ENCODE/ENCFF631FDQ.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/MCF-7-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/MCF-7-ENCODE/ENCFF361XGU.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/MCF-7-ENCODE/ENCFF548YRU.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/MCF-7-ENCODE/ENCFF761EUR.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/MCF-7-ENCODE/ENCFF855RCK.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF456OYZ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF057ITQ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF163LRM.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF532LDM.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF-7-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF-7-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF-7-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF-7-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
